# CVS spectrum collected post-FFT during II&T by Caleb Baker.  This is
# Band 4 + LOWFS (510-840nm, or 675 center and 330 width in Varia command)
#
# flux units are arbitrary spectrometer units; we are relying on the self-
# normalization of eetc spectra for magnitude conversion.
#
# wavelength (A), flux
3.06821E+03,1.0000E-15
3.07032E+03,1.0000E-15
3.07244E+03,1.0000E-15
3.07455E+03,1.0000E-15
3.07667E+03,1.0000E-15
3.07878E+03,1.0000E-15
3.08089E+03,1.0000E-15
3.08301E+03,1.0000E-15
3.08512E+03,1.0000E-15
3.08724E+03,1.0000E-15
3.08935E+03,1.0000E-15
3.09147E+03,1.0000E-15
3.09358E+03,1.0000E-15
3.09570E+03,1.0000E-15
3.09781E+03,1.0000E-15
3.09993E+03,1.0000E-15
3.10204E+03,1.0000E-15
3.10416E+03,1.0000E-15
3.10628E+03,1.0000E-15
3.10839E+03,1.0000E-15
3.11051E+03,1.0000E-15
3.11263E+03,1.0000E-15
3.11474E+03,1.0000E-15
3.11686E+03,1.0000E-15
3.11898E+03,1.0000E-15
3.12109E+03,1.0000E-15
3.12321E+03,1.0000E-15
3.12533E+03,1.0000E-15
3.12744E+03,1.0000E-15
3.12956E+03,1.0000E-15
3.13168E+03,1.0000E-15
3.13380E+03,1.0000E-15
3.13592E+03,1.0000E-15
3.13803E+03,1.0000E-15
3.14015E+03,1.0000E-15
3.14227E+03,1.0000E-15
3.14439E+03,1.0000E-15
3.14651E+03,1.0000E-15
3.14863E+03,1.0000E-15
3.15075E+03,1.0000E-15
3.15286E+03,1.0000E-15
3.15498E+03,1.0000E-15
3.15710E+03,1.0000E-15
3.15922E+03,1.0000E-15
3.16134E+03,1.0000E-15
3.16346E+03,1.0000E-15
3.16558E+03,1.0000E-15
3.16770E+03,1.0000E-15
3.16982E+03,1.0000E-15
3.17194E+03,1.0000E-15
3.17406E+03,1.0000E-15
3.17618E+03,1.0000E-15
3.17831E+03,1.0000E-15
3.18043E+03,1.0000E-15
3.18255E+03,1.0000E-15
3.18467E+03,1.0000E-15
3.18679E+03,1.0000E-15
3.18891E+03,1.0000E-15
3.19103E+03,1.0000E-15
3.19316E+03,1.0000E-15
3.19528E+03,1.0000E-15
3.19740E+03,1.0000E-15
3.19952E+03,1.0000E-15
3.20164E+03,1.0000E-15
3.20377E+03,1.0000E-15
3.20589E+03,1.0000E-15
3.20801E+03,1.0000E-15
3.21014E+03,1.0000E-15
3.21226E+03,1.0000E-15
3.21438E+03,1.0000E-15
3.21651E+03,1.0000E-15
3.21863E+03,1.0000E-15
3.22075E+03,1.0000E-15
3.22288E+03,1.0000E-15
3.22500E+03,1.0000E-15
3.22712E+03,1.0000E-15
3.22925E+03,1.0000E-15
3.23137E+03,1.0000E-15
3.23350E+03,1.0000E-15
3.23562E+03,1.0000E-15
3.23775E+03,1.0000E-15
3.23987E+03,1.0000E-15
3.24200E+03,1.0000E-15
3.24412E+03,1.0000E-15
3.24625E+03,1.0000E-15
3.24837E+03,1.0000E-15
3.25050E+03,1.0000E-15
3.25263E+03,1.0000E-15
3.25475E+03,1.0000E-15
3.25688E+03,1.0000E-15
3.25900E+03,1.0000E-15
3.26113E+03,1.0000E-15
3.26326E+03,1.0000E-15
3.26538E+03,1.0000E-15
3.26751E+03,1.0000E-15
3.26964E+03,1.0000E-15
3.27176E+03,1.0000E-15
3.27389E+03,1.0000E-15
3.27602E+03,1.0000E-15
3.27815E+03,1.0000E-15
3.28027E+03,1.0000E-15
3.28240E+03,1.0000E-15
3.28453E+03,1.0000E-15
3.28666E+03,1.0000E-15
3.28879E+03,1.0000E-15
3.29092E+03,1.0000E-15
3.29304E+03,1.0000E-15
3.29517E+03,1.0000E-15
3.29730E+03,1.0000E-15
3.29943E+03,1.0000E-15
3.30156E+03,1.0000E-15
3.30369E+03,1.0000E-15
3.30582E+03,1.0000E-15
3.30795E+03,1.0000E-15
3.31008E+03,1.0000E-15
3.31221E+03,1.0000E-15
3.31434E+03,1.0000E-15
3.31647E+03,1.0000E-15
3.31860E+03,1.0000E-15
3.32073E+03,1.0000E-15
3.32286E+03,1.0000E-15
3.32499E+03,1.0000E-15
3.32712E+03,1.0000E-15
3.32925E+03,1.0000E-15
3.33138E+03,1.0000E-15
3.33351E+03,1.0000E-15
3.33565E+03,1.0000E-15
3.33778E+03,1.0000E-15
3.33991E+03,1.0000E-15
3.34204E+03,1.0000E-15
3.34417E+03,1.0000E-15
3.34630E+03,1.0000E-15
3.34844E+03,1.0000E-15
3.35057E+03,1.0000E-15
3.35270E+03,1.0000E-15
3.35483E+03,1.0000E-15
3.35697E+03,1.0000E-15
3.35910E+03,1.0000E-15
3.36123E+03,1.0000E-15
3.36337E+03,1.0000E-15
3.36550E+03,1.0000E-15
3.36763E+03,1.0000E-15
3.36977E+03,1.0000E-15
3.37190E+03,1.0000E-15
3.37403E+03,1.0000E-15
3.37617E+03,1.0000E-15
3.37830E+03,1.0000E-15
3.38044E+03,1.0000E-15
3.38257E+03,1.0000E-15
3.38471E+03,1.0000E-15
3.38684E+03,1.0000E-15
3.38898E+03,1.0000E-15
3.39111E+03,1.0000E-15
3.39325E+03,1.0000E-15
3.39538E+03,1.0000E-15
3.39752E+03,1.0000E-15
3.39965E+03,1.0000E-15
3.40179E+03,1.0000E-15
3.40392E+03,1.0000E-15
3.40606E+03,1.0000E-15
3.40820E+03,1.0000E-15
3.41033E+03,1.0000E-15
3.41247E+03,1.0000E-15
3.41461E+03,1.0000E-15
3.41674E+03,1.0000E-15
3.41888E+03,1.0000E-15
3.42102E+03,1.0000E-15
3.42315E+03,1.0000E-15
3.42529E+03,1.0000E-15
3.42743E+03,1.0000E-15
3.42957E+03,1.0000E-15
3.43170E+03,1.0000E-15
3.43384E+03,1.0000E-15
3.43598E+03,1.0000E-15
3.43812E+03,1.0000E-15
3.44026E+03,1.0000E-15
3.44239E+03,1.0000E-15
3.44453E+03,1.0000E-15
3.44667E+03,1.0000E-15
3.44881E+03,1.0000E-15
3.45095E+03,1.0000E-15
3.45309E+03,1.0000E-15
3.45523E+03,1.0000E-15
3.45737E+03,1.0000E-15
3.45951E+03,1.0000E-15
3.46165E+03,1.0000E-15
3.46379E+03,1.0000E-15
3.46593E+03,1.0000E-15
3.46807E+03,1.0000E-15
3.47021E+03,1.0000E-15
3.47235E+03,1.0000E-15
3.47449E+03,1.0000E-15
3.47663E+03,1.0000E-15
